fscl_yr_nb,fscl_mo_nb,fscl_mo_nm,VendorNbr,SkuNbr,Received Qty
2015,12,SEPTEMBER,000364514,79BL7040,104 
2015,12,SEPTEMBER,000364514,79CN0075,50 
2015,12,SEPTEMBER,000364514,79NR7167,400 
2015,12,SEPTEMBER,000418043,70116764,240 
2015,12,SEPTEMBER,000449776,06140090,45 
2015,12,SEPTEMBER,000449776,06140130,50 
2015,12,SEPTEMBER,000454231,05171001,"3,555 "
2015,12,SEPTEMBER,000456529,06161663,0 
2015,12,SEPTEMBER,000457022,03140032,"10,000 "
2015,12,SEPTEMBER,007032,06120015,56 
2015,12,SEPTEMBER,017911,70111314,672 
2015,12,SEPTEMBER,017911,70117964,"1,680 "
2015,12,SEPTEMBER,017911,70128354,336 
2015,12,SEPTEMBER,033778,06161648,"1,350 "
2015,12,SEPTEMBER,048249,09120004,120 
2015,12,SEPTEMBER,048249,09120090,48 
2015,12,SEPTEMBER,049070,06160186,70 
2015,12,SEPTEMBER,049070,06161634,"1,848 "
2015,12,SEPTEMBER,049070,06168041,210 
2015,12,SEPTEMBER,058829,06110210,5 
2015,11,AUGUST,000422837,06163689,120 
2015,11,AUGUST,000454231,05174002,"1,440 "
2015,11,AUGUST,000454317,10117015,"5,760 "
2015,11,AUGUST,000465505,06183618,75 
2015,11,AUGUST,033778,06161645,30 
2015,11,AUGUST,058829,06119947,112 
2015,11,AUGUST,076005,09150833,456 
2015,11,AUGUST,200002,06160193,64 
2015,11,AUGUST,200311,02115034,"64,745 "
2015,11,AUGUST,200362,06160159,594 
